species,dd long,dd lat
Btrigonus,21572,1
Btrigonus,21575,1
Btrigonus,21577,1
Btrigonus,21578,1
Btrigonus,21580,1
Btrigonus,21581,1
Btrigonus,21582,1
Btrigonus,21583,1
Btrigonus,21584,1
Btrigonus,21585,1
Btrigonus,21586,1
Btrigonus,21587,1
Btrigonus,21739,1
Btrigonus,21740,1
Btrigonus,21742,1
Btrigonus,21743,1
Btrigonus,21878,1
Btrigonus,21879,1
Btrigonus,21888,1
Btrigonus,21890,1
Btrigonus,21892,1
Btrigonus,21893,1
Btrigonus,21894,1
Btrigonus,21895,1
Btrigonus,21896,1
Btrigonus,21897,1
Btrigonus,22014,1
Btrigonus,22015,1
Btrigonus,22018,1
Btrigonus,22023,1
Btrigonus,22024,1
Btrigonus,22025,1
Btrigonus,22026,1
Btrigonus,22027,1
Btrigonus,22028,1
Btrigonus,22029,1
Btrigonus,22030,1
Btrigonus,22033,1
Btrigonus,22035,1
Btrigonus,22140,1
Btrigonus,22141,1
Btrigonus,22144,1
Btrigonus,22146,1
Btrigonus,22147,1
Btrigonus,22150,1
Btrigonus,22151,1
Btrigonus,22152,1
Btrigonus,22153,1
Btrigonus,22156,1
Btrigonus,22159,1
Btrigonus,22261,1
Btrigonus,22263,1
Btrigonus,3149,1
Btrigonus,3651,1
Btrigonus,5271,1
Btrigonus,5488,1
Btrigonus,5489,1
Btrigonus,5490,1
Btrigonus,5722,1
Btrigonus,5723,1
Btrigonus,5724,1
Btrigonus,5725,1
Btrigonus,5952,1
Btrigonus,5953,1
Btrigonus,5954,1
Btrigonus,5955,1
Btrigonus,5956,1
Btrigonus,5958,1
Btrigonus,5960,1
Btrigonus,6186,1
Btrigonus,6187,1
Btrigonus,6188,1
Btrigonus,6196,1
Btrigonus,6197,1
Btrigonus,6198,1
Btrigonus,6199,1
Btrigonus,6200,1
Btrigonus,6201,1
Btrigonus,6202,1
Btrigonus,6203,1
Btrigonus,6205,1
Btrigonus,6206,1
Btrigonus,6207,1
Btrigonus,6427,1
Btrigonus,6428,1
Btrigonus,6429,1
Btrigonus,6430,1
Btrigonus,6431,1
Btrigonus,6434,1
Btrigonus,6435,1
Btrigonus,6436,1
Btrigonus,6437,1
Btrigonus,6438,1
Btrigonus,6439,1
Btrigonus,6440,1
Btrigonus,6443,1
Btrigonus,6668,1
Btrigonus,6669,1
Btrigonus,6670,1
Btrigonus,6671,1
Btrigonus,6672,1
Btrigonus,6673,1
Btrigonus,6674,1
Btrigonus,6675,1
Btrigonus,6676,1
Btrigonus,6677,1
Btrigonus,6678,1
Btrigonus,6679,1
Btrigonus,6680,1
Btrigonus,6682,1
Btrigonus,6683,1
Btrigonus,6684,1
Btrigonus,6685,1
Btrigonus,6686,1
Btrigonus,6687,1
Btrigonus,6688,1
Btrigonus,6689,1
Btrigonus,6690,1
Btrigonus,6693,1
Btrigonus,6694,1
Btrigonus,6915,1
Btrigonus,6917,1
Btrigonus,6918,1
Btrigonus,6919,1
Btrigonus,6920,1
Btrigonus,6921,1
Btrigonus,6922,1
Btrigonus,6923,1
Btrigonus,6924,1
Btrigonus,6925,1
Btrigonus,6926,1
Btrigonus,6927,1
Btrigonus,6928,1
Btrigonus,6929,1
Btrigonus,6930,1
Btrigonus,6931,1
Btrigonus,6932,1
Btrigonus,6933,1
Btrigonus,6934,1
Btrigonus,6935,1
Btrigonus,6936,1
Btrigonus,6937,1
Btrigonus,6938,1
Btrigonus,6939,1
Btrigonus,6940,1
Btrigonus,6941,1
Btrigonus,6942,1
Btrigonus,6944,1
Btrigonus,6947,1
Btrigonus,6948,1
Btrigonus,6949,1
Btrigonus,6950,1
Btrigonus,7182,1
Btrigonus,7184,1
Btrigonus,7185,1
Btrigonus,7186,1
Btrigonus,7187,1
Btrigonus,7188,1
Btrigonus,7189,1
Btrigonus,7190,1
Btrigonus,7191,1
Btrigonus,7192,1
Btrigonus,7193,1
Btrigonus,7194,1
Btrigonus,7195,1
Btrigonus,7196,1
Btrigonus,7197,1
Btrigonus,7198,1
Btrigonus,7199,1
Btrigonus,7200,1
Btrigonus,7201,1
Btrigonus,7202,1
Btrigonus,7203,1
Btrigonus,7204,1
Btrigonus,7205,1
Btrigonus,7206,1
